product_id,name,ratings,price,os,colour,ram,product_dimensions,connectivity_technologies,special_features,date_now
3,"Moto E 2nd Generation (4G, Black)",3.9 out of 5 stars,6999,Android,Black,1 GB,13 x 1.2 x 6.7 cm,"GSM, (850/900/1800/1900 MHz), 3G, (2100 MHz), 4G LTE, WiFi 802.11 b/g/n","Video Calls, Dual SIM, GPS, Music Player, Video Player, FM Radio, Accelerometer, Ambient light sensor, Proximity sensor, E-mail, Expandable Memory: 32GB",2016-03-27
4,Gionee Elife E3 (White),3.7 out of 5 stars,7690,Android,White,1 GB,13.7 x 0.8 x 6.8 cm,"GSM, (850/900/1800/1900 MHz), UMTS, 3G, (900/2100 MHz), GPRS, EDGE, WiFi","Music Player, Video Player, FM Radio, GPS, Dual SIM, eCompass, Light sensor, Proximity sensor, G sensor, E-mail, Expandable Memory: 32GB",2016-03-27
5,"LG L80 Dual D380 (White, 4GB)",4 out of 5 stars,8361,"Android, Kitkat",White,1 GB,13.8 x 1 x 7.4 cm,"GSM, (850/900/1800/1900 MHz), 3G, GPRS, EDGE","Dual SIM, GPS, Music Player, Video Player, FM Radio, Accelerometer, Proximity sensor, Ambient light sensor, E-mail, Expandable Memory: 32GB",2016-03-27
6,Adcom Kitkat A-54 (Black) with Flip Cover & Screenguard,1 out of 5 stars,4547,"Android, KitKat, Android^KitKat",Black,1 GB,17.6 x 10.1 x 5.9 cm,HSDPA,"E-Mail, Music Player, Video Player",2016-03-27
9,Samsung Galaxy S5 SM-G900H (Electric Blue),3.5 out of 5 stars,29840,Android,Electric Blue,2 GB,14.2 x 0.8 x 7.3 cm,"GSM, (850/900/1800/1900 MHz), UMTS, 3G, (900/1900/2100 MHz), WiFi","Music Player, Video Player, Accelerometer, Gyro sensor, Proximity sensor, Compass, Barometer sensor, Hall sensor, RGB ambient light sensor, Gesture sensor, Fingerprint sensor, Heart rate sensor, E-mail, Expandable Memory: 128GB",2016-03-27
12,Micomax Q391 Android Mobile Phone with 6 inch screen (Blue),3.8 out of 5 stars,7407,Android,blue,1 GB,20.4 x 19.2 x 3.4 cm,WCDMA,"8MP primary camera with auto-focus, flash and 2MP front facing camera, 6-inch (15.24 centimeters) IPS multi-touch capacitive touchscreen with 960 x 540 pixels resolution and 16.7M color support, Android v5.0 Lollipop operating system with 1.3GHz quad core processor, 1GB RAM, 8GB internal memory expandable up to 32GB and dual SIM (GSM+WCDMA), 3000mAH lithium-ion battery providing talk time of 10 hours and standby time of 300 hours, 1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase",2016-03-27
13,"Micromax Canvas 2 Colours A120 (8GB, White)",3.9 out of 5 stars,7300,"Android, Jellybean",White,1 GB,18.5 x 16.6 x 3.8 cm,"GSM, (900/1800/1900 MHz), 3G, WCDMA, (900/2100 MHz), WiFi","Dual SIM, Music Player, Video Player, Light sensor, Motion sensor, Proximity sensor",2016-03-27
15,MICROMAX CANVAS TUBE A118R,5 out of 5 stars,6699,Android,black,1 GB,18.2 x 12.5 x 6.4 cm,GSM,"PROCESSOR 1.2GHz quad core, HSPA 21Mbps/5.76Mbps, memory RAM-1GB ROM-4GB, Primary-8.0MP AF/SECONDARY-2.0MP, ANDROID JELLYBEAN 4.2, 2300MAh Battery, TALKTIME-5 hours Standby Time-150 HOURS",2016-03-27
19,"HTC Desire 626G+ (White Birch, 8GB)",3.5 out of 5 stars,11093,"Android, Kitkat",White Birch,1 GB,7.1 x 0.8 x 14.7 cm,"GSM, (850/900/1800/1900 MHz), 3G, UMTS, (850/900/2100 MHz), 4G LTE, GPRS, EDGE, WiFi 802.11 b/g/n","Video Calls, Dual SIM, GPS, Music Player, Video Player, Light sensor, Proximity sensor, E-mail, Expandable Memory: 32GB",2016-03-27
20,Lava Iris Atom 2X (Black),3.3 out of 5 stars,4499,Android,Black,1 GB,13.4 x 0.9 x 6.6 cm,"GSM, (900/1800 MHz), 3G, WCDMA, (2100 MHz), EDGE, GPRS, WiFi 802.11 b/g/n","Video Calls, Dual SIM, Music Player, Video Player, Accelerometer, E-mail",2016-03-27
24,Karbonn Titanium High 2 S203 (White-Champ),3.8 out of 5 stars,4884,Android,White-Champ,512 MB,14.6 x 1 x 7.2 cm,"GSM, (900/1800 MHz), EDGE, GPRS, WiFi","Video Calls, Dual SIM, Music Player, Video Player, FM Radio, G sensor, Proximity sensor, Light sensor, E-mail, Expandable Memory: 32GB",2016-03-27
27,"Asus Zenfone 5 (Cherry Red, 16GB)",3.9 out of 5 stars,9499,"Android, Jellybean",Cherry Red,2 GB,14.8 x 1 x 7.3 cm,"GSM, (850/900/1800/1900 MHz), UMTS, 3G, (850/900/1900/2100 MHz), GPRS, EDGE, WiFi","Music Player, Video Player, GPS, G sensor, eCompass, Proximity sensor, Light sensor, Hall sensor, E-mail, Dual SIM",2016-03-27
28,Panasonic Eluga S (Black),4 out of 5 stars,7490,"Android, Kitkat",Black,1 GB,14.1 x 0.8 x 7.1 cm,"GSM, (900/1800/1900 MHz), 3G, UMTS, (900/2100 MHz), EDGE, GPRS, WiFi 802.11 b/g/n","Video Calls, Dual SIM, GPS, Music Player, Video Player, Accelerometer, Proximity sensor, E-mail, Expandable Memory: 32GB",2016-03-27
39,"HTC Desire 816 (Dual SIM, Orange)",4.3 out of 5 stars,25500,"Android, Kitkat",Orange,1 GB,15.7 x 0.8 x 7.9 cm,"GSM, (850/900/1800/1900 MHz), WCDMA, 3G, (850/900/2100 MHz), GPRS, EDGE, WiFi IEEE 802.11 b/g/n (2.4 GHz)","Video Calls, Dual SIM, GPS, Music Player, Video Player, Accelerometer, Proximity sensor, Ambient light sensor, E-mail, Expandable Memory: 128GB",2016-03-27
45,"Lenovo S820 (Red, 8GB)",4.4 out of 5 stars,11999,"Android, Jellybean",Red,1 GB,14 x 0.9 x 7 cm,"GSM, (900/1800/1900 MHz), HSDPA, (900/2100 MHz), GPRS, EDGE, WiFi","Music Player, Video Player, Accelerometer sensor, Proximity sensor, FM Radio, GPS, E-mail, Dual SIM, Expandable Memory: 32GB",2016-03-27
48,HTC One E9s Dual SIM (Meteor Grey),3.5 out of 5 stars,20680,Android,Meteor Grey,2 GB,15.8 x 0.8 x 8 cm,"GSM, (850/900/1800/1900 MHz), 3G, UMTS, (850/900/1900/2100 MHz), LTE, WiFi 802.11 a/b/g/n/ac","Video Calls, Dual SIM, GPS, Music Player, Video Player, FM Radio, E-mail",2016-03-27
53,Panasonic Eluga Icon (Slate),3.5 out of 5 stars,9649,Android,Slate,2 GB,15.2 x 0.8 x 7.6 cm,"GSM, (900/1800/1900MHz), UMTS, (900/2100MHz), 4G LTE","Video Calls, Dual SIM, GPS, Music Player, Video Player, E-mail, FM Radio, Accelerometer, Proximity sensor, Ambient Light sensor, Expandable Memory: 32GB",2016-03-27
65,Karbonn A109 (Black),2.2 out of 5 stars,2599,"Android, Jellybean",Black,256 MB,6.4 x 0.8 x 1.1 cm,"GSM, GPRS, EDGE, WiFi 802.11/b/g/n","Dual SIM, GPS, Music Player, Video Player, FM Radio, E-mail, Expandable Memory: 32GB",2016-03-27
69,Lava Iris Atom 2 (White),3.1 out of 5 stars,3749,Android,White,512 MB,13.4 x 0.9 x 6.6 cm,"GSM, (900/1800 MHz), 3G, WCDMA, (2100 MHz), GPRS, WiFi","Video Calls, Dual SIM, GPS, Music Player, Video Player, FM Radio, Accelerometer, E-mail, Expandable Memory: 32GB",2016-03-27
71,Intex Aqua Power HD (Silver-Black),2.9 out of 5 stars,7099,Android,Silver-Black,2 GB,14 x 0.9 x 7.3 cm,"GSM, (900/1800 MHz), 3G, WCDMA, (2100 MHz), GPRS, EDGE, WiFi","Dual SIM, GPS, Music Player, Video Player, FM Radio, E-mail",2016-03-27
75,"Samsung Galaxy SM-J200G/DD (White, 8 GB)",4 out of 5 stars,8350,Android,White,1 GB,13.7 x 0.8 x 6.9 cm,"GSM, (850/900/1800/1900 MHz), HSDPA, 3G, (850/900/1900/2100 MHz), 4G LTE, GPRS, EDGE, WiFi","Video Calls, Dual SIM, GPS, Music Player, Video Player, FM Radio, Accelerometer, Proximity sensor, E-mail, Expandable Memory: 128GB",2016-03-27
87,Salora Njoy Power X E8 (Black),1 out of 5 stars,4999,"Android, Kitkat",Black,1 GB,16.5 x 5.7 x 9.2 cm,"GSM, 3G, GPRS, WiFi 802.11 b/g/n","Video Calls, Dual SIM, GPS, Music Player, Video Player, FM Radio, Proximity sensor, Gravity sensor, Light sensor, E-mail, Expandable Memory: 32GB",2016-03-27
91,Intex Aqua Xtreme (Red),2.8 out of 5 stars,10778,Android,Red,2 GB,14.4 x 0.7 x 7 cm,"GSM, (900/1800 MHz), 3G, HSDPA, EDGE, GPRS, WiFi","Video Calls, Dual SIM, GPS, Music Player, Video Player, FM Radio, E-mail",2016-03-27
94,Lenovo A6000 Shot (White),3.5 out of 5 stars,8999,Android,White,16 GB,14.1 x 0.8 x 7.1 cm,"GSM, (850/900/1800/1900 MHz), 3G, UMTS, (850/900/1900/2100 MHz), 4G LTE, FDD, (800/850/900/1800/2100/2600 MHz), TDD, (2300/2400 MHz), GPRS, EDGE, HSPA+, WiFi 802.11 b/g/n","Dual SIM, GPS, Music Player, Video Player, FM Radio, G sensor, Proximity sensor, Light sensor, Vibrator sensor, E-mail",2016-03-27
108,"Asus Zenfone 2 Laser ZE500KL (Red, 16GB)",5 out of 5 stars,10799,Android,Red,2 GB,14.4 x 1.1 x 7.2 cm,"GSM, (1900/1800/850/900 MHz), WCDMA, 3G, (850/900/1900/2100 MHz), 4G LTE, GPRS, EDGE, WiFi 802.11 a/b/g/n","Video Calls, Dual SIM, GPS, Music Player, Video Player, FM Radio, Accelerator, G sensor, eCompass, Proximity sensor, Ambient light sensor, Hall sensor, E-mail, Expandable Memory: 128GB",2016-03-27
111,Samsung Galaxy Note 4 (Black),4 out of 5 stars,36900,"Android, Kitkat",Black,3 GB,15.4 x 0.9 x 7.9 cm,"GSM, (850/900/1800/1900 MHz), HSPA+, 3G, (850/900/1900/2100 MHz), 4G LTE, 4G, WiFi 802.11 a/b/g/n/ac","Video Calls, Single SIM, GPS, Music Player, Video Player, Gesture sensor, Accelerometer, Geo Magnetic sensor, Gyroscope, RGB ambient light sensor, Proximity sensor, Barometer, Hall Sensor, Finger Scanner, UV sensor, HRM sensor, E-mail, Expandable Memory: 64GB",2016-03-27
116,HTC Desire 620G (Santroni White),3.8 out of 5 stars,11290,"Android, Kitkat",Santroni White,1 GB,15 x 1 x 7.3 cm,"GSM, (850/900/1800/1900 MHz), WCDMA, 3G, (900/2100 MHz), WiFi 802.11 b/g/n","Video Calls, Dual SIM, GPS, Music Player, Video Player, Accelerometer, Proximity sensor, Ambient light sensor, E-mail, Expandable Memory: 32GB",2016-03-27
