SerialN,Name,Ratings,Price,Condition,Date
1,CLOUD ETAIL,4.5 out of 5 stars,"Rs. 6,863.00",New,2016-04-10
1,Alka Traders,,"Rs. 7,200.00",New,2016-04-10
1,,,"Rs. 7,490.00",New,2016-04-10
2,,4.5 out of 5 stars,"Rs. 4,999.00",New,2016-04-10
2,mobilecafe online,5 out of 5 stars,"Rs. 5,450.00",New,2016-04-10
2,Live Sales & Services,,"Rs. 5,680.00",New,2016-04-10
2,baba communication,,"Rs. 5,500.00",New,2016-04-10
2,Live Sales & Services,,"Rs. 5,875.00",New,2016-04-10
4,Mobile World JPR,,"Rs. 9,700.00",New,2016-04-10
4,Majestic Communication,,"Rs. 10,000.00",New,2016-04-10
4,Ramsnehi mobile & Computer,5 out of 5 stars,"Rs. 13,200.00",New,2016-04-10
4,M/S HARI OM ENTERPRISES,2 out of 5 stars,"Rs. 13,999.00",New,2016-04-10
4,PLANET ELECTRONICS,1 out of 5 stars,"Rs. 15,250.00",New,2016-04-10
4,Rain Mobile House,,"Rs. 15,899.00",New,2016-04-10
5,Deals Amazing,4 out of 5 stars,"Rs. 8,296.00",New,2016-04-10
5,,4.5 out of 5 stars,"Rs. 8,297.00",New,2016-04-10
5,Magiczone,,"Rs. 8,500.00",New,2016-04-10
5,Emm Ess Refrigeration,3 out of 5 stars,"Rs. 9,990.00",New,2016-04-10
5,RSM_BLR,,"Rs. 10,100.00",New,2016-04-10
5,PAVI SALES,4 out of 5 stars,"Rs. 17,999.00",New,2016-04-10
7,AtoZStore100,4 out of 5 stars,"Rs. 7,180.00",New,2016-04-10
7,Tharakan Duty Paid,3.5 out of 5 stars,"Rs. 7,150.00",New,2016-04-10
7,,4.5 out of 5 stars,"Rs. 7,349.00",New,2016-04-10
7,,4.5 out of 5 stars,"Rs. 7,349.00",New,2016-04-10
7,LavaEstore,3.5 out of 5 stars,"Rs. 7,349.00",New,2016-04-10
7,SR BUSINESS,,"Rs. 7,449.00",New,2016-04-10
10,SHOPING BOOK,4 out of 5 stars,"Rs. 6,199.00",New,2016-04-10
10,Comminucation Next,1 out of 5 stars,"Rs. 6,499.00",New,2016-04-10
10,Softcloud Retails,3 out of 5 stars,"Rs. 6,679.00",New,2016-04-10
10,ND Mobile,3.5 out of 5 stars,"Rs. 6,899.00",New,2016-04-10
10,SCPL SLP,4.5 out of 5 stars,"Rs. 6,990.00",New,2016-04-10
10,vijayasaienterprises,3.5 out of 5 stars,"Rs. 6,999.00",New,2016-04-10
10,mobilecafe online,5 out of 5 stars,"Rs. 7,000.00",New,2016-04-10
10,PAMIDIMARRI MOBILES,2 out of 5 stars,"Rs. 6,999.00",New,2016-04-10
10,CELL Q,,"Rs. 7,420.00",New,2016-04-10
11,jimmyonline,,"Rs. 4,700.00",New,2016-04-10
12,GADGETS_ONLINE,4.5 out of 5 stars,"Rs. 7,799.00",New,2016-04-10
12,Zion International,1 out of 5 stars,"Rs. 7,846.00",New,2016-04-10
12,The Smart Solution,1 out of 5 stars,"Rs. 7,875.00",New,2016-04-10
12,Brisk Communications,5 out of 5 stars,"Rs. 7,999.00",New,2016-04-10
12,HVAC SOLUTIONS,2.5 out of 5 stars,"Rs. 8,200.00",New,2016-04-10
12,Digitech Mart,,"Rs. 7,668.00",New,2016-04-10
12,,4.5 out of 5 stars,"Rs. 8,441.00",New,2016-04-10
12,POWERING MOBILE LIFE STYLE,1 out of 5 stars,"Rs. 8,632.00",New,2016-04-10
12,CELL Q,,"Rs. 8,480.00",New,2016-04-10
12,DOSHI ENTERPRISE,,"Rs. 19,999.00",New,2016-04-10
13,,4.5 out of 5 stars,"Rs. 6,029.00",New,2016-04-10
13,Shopping_Revolution,2 out of 5 stars,"Rs. 6,148.00",New,2016-04-10
13,Bliss Retails,2 out of 5 stars,"Rs. 6,210.00",New,2016-04-10
13,M R Enterprises Patna,,"Rs. 6,450.00",New,2016-04-10
13,Kifayati Deals,4.5 out of 5 stars,"Rs. 6,895.00",New,2016-04-10
13,R D smart,,"Rs. 7,100.00",New,2016-04-10
13,,4.5 out of 5 stars,"Rs. 7,300.00",New,2016-04-10
13,Arun Agencies,,"Rs. 7,490.00",New,2016-04-10
13,Brisk Communications,5 out of 5 stars,"Rs. 7,500.00",New,2016-04-10
13,BestDeals4Yu,4 out of 5 stars,"Rs. 7,810.00",New,2016-04-10
14,,4.5 out of 5 stars,"Rs. 46,900.00",New,2016-04-10
14,SCPL SLP,4.5 out of 5 stars,"Rs. 46,900.00",New,2016-04-10
14,,4.5 out of 5 stars,"Rs. 46,900.00",New,2016-04-10
14,Sabrimala Leasing and Holdings Limited_SLP,4 out of 5 stars,"Rs. 46,900.00",New,2016-04-10
14,AMEZ,4.5 out of 5 stars,"Rs. 46,900.00",New,2016-04-10
14,Ojas_BAN_SLC,5 out of 5 stars,"Rs. 46,900.00",New,2016-04-10
14,ITWORLD_CHE_SLC,4.5 out of 5 stars,"Rs. 46,900.00",New,2016-04-10
14,the electronic gadgets,2 out of 5 stars,"Rs. 46,855.00",New,2016-04-10
14,M/s Bindra Communications,,"Rs. 46,775.00",New,2016-04-10
14,Ravis Jonty communication,,"Rs. 51,000.00",New,2016-04-10
15,NK Mobile JPR,,"Rs. 7,700.00",New,2016-04-10
15,NK Mobile,,"Rs. 7,700.00",New,2016-04-10
19,DEVICES INDIA,4 out of 5 stars,"Rs. 12,200.00",New,2016-04-10
19,,4.5 out of 5 stars,"Rs. 12,999.00",New,2016-04-10
19,mobile mantra,1 out of 5 stars,"Rs. 13,000.00",New,2016-04-10
19,Magiczone,,"Rs. 13,000.00",New,2016-04-10
19,Gulati Electronics,,"Rs. 13,290.00",New,2016-04-10
19,Hunny Electronics,1 out of 5 stars,"Rs. 13,400.00",New,2016-04-10
19,JMD EXCLUSIVE,4.5 out of 5 stars,"Rs. 13,300.00",New,2016-04-10
19,Buzz Retail D,,"Rs. 13,400.00",New,2016-04-10
19,ekta mobiles,3.5 out of 5 stars,"Rs. 13,560.00",New,2016-04-10
19,Smsoft Computers- kerala,3.5 out of 5 stars,"Rs. 14,000.00",New,2016-04-10
20,,4.5 out of 5 stars,"Rs. 4,499.00",New,2016-04-10
20,Hariom Mobile Phones,,"Rs. 4,600.00",New,2016-04-10
20,ANUSHREE TRADERS,,"Rs. 4,800.00",New,2016-04-10
20,Hip Hop JDP,3 out of 5 stars,"Rs. 4,700.00",New,2016-04-10
20,Alka Traders,,"Rs. 4,899.00",New,2016-04-10
20,H.M.T. Watch Centre,1 out of 5 stars,"Rs. 5,250.00",New,2016-04-10
20,Surya Mobile,,"Rs. 5,800.00",New,2016-04-10
20,carnival mobiles,,"Rs. 4,850.00",New,2016-04-10
21,CELL TELECOM,4 out of 5 stars,"Rs. 3,099.00",New,2016-04-10
21,Unique@Seller-FBA-SLP,4.5 out of 5 stars,"Rs. 3,375.00",New,2016-04-10
21,Tanishka mobile,,"Rs. 3,490.00",New,2016-04-10
21,Anant Digital,4 out of 5 stars,"Rs. 3,793.00",New,2016-04-10
21,G.S telecell traders,,"Rs. 3,890.00",New,2016-04-10
