idd,name,ratings,price,condition,mom
1,CLOUD ETAIL,4.5 out of 5 stars,"Rs. 6,863.00",New,2016-04-10
2,mobilecafe online,5 out of 5 stars,"Rs. 5,450.00",New,2016-04-10
4,Ramsnehi mobile & Computer,5 out of 5 stars,"Rs. 13,200.00",New,2016-04-10
4,M/S HARI OM ENTERPRISES,2 out of 5 stars,"Rs. 13,999.00",New,2016-04-10
4,PLANET ELECTRONICS,1 out of 5 stars,"Rs. 15,250.00",New,2016-04-10
5,Deals Amazing,4 out of 5 stars,"Rs. 8,296.00",New,2016-04-10
5,Emm Ess Refrigeration,3 out of 5 stars,"Rs. 9,990.00",New,2016-04-10
5,PAVI SALES,4 out of 5 stars,"Rs. 17,999.00",New,2016-04-10
7,AtoZStore100,4 out of 5 stars,"Rs. 7,180.00",New,2016-04-10
7,Tharakan Duty Paid,3.5 out of 5 stars,"Rs. 7,150.00",New,2016-04-10
7,LavaEstore,3.5 out of 5 stars,"Rs. 7,349.00",New,2016-04-10
10,SHOPING BOOK,4 out of 5 stars,"Rs. 6,199.00",New,2016-04-10
10,Comminucation Next,1 out of 5 stars,"Rs. 6,499.00",New,2016-04-10
10,Softcloud Retails,3 out of 5 stars,"Rs. 6,679.00",New,2016-04-10
10,ND Mobile,3.5 out of 5 stars,"Rs. 6,899.00",New,2016-04-10
10,SCPL SLP,4.5 out of 5 stars,"Rs. 6,990.00",New,2016-04-10
10,vijayasaienterprises,3.5 out of 5 stars,"Rs. 6,999.00",New,2016-04-10
10,mobilecafe online,5 out of 5 stars,"Rs. 7,000.00",New,2016-04-10
10,PAMIDIMARRI MOBILES,2 out of 5 stars,"Rs. 6,999.00",New,2016-04-10
12,GADGETS_ONLINE,4.5 out of 5 stars,"Rs. 7,799.00",New,2016-04-10
12,Zion International,1 out of 5 stars,"Rs. 7,846.00",New,2016-04-10
12,The Smart Solution,1 out of 5 stars,"Rs. 7,875.00",New,2016-04-10
12,Brisk Communications,5 out of 5 stars,"Rs. 7,999.00",New,2016-04-10
12,HVAC SOLUTIONS,2.5 out of 5 stars,"Rs. 8,200.00",New,2016-04-10
12,POWERING MOBILE LIFE STYLE,1 out of 5 stars,"Rs. 8,632.00",New,2016-04-10
13,Shopping_Revolution,2 out of 5 stars,"Rs. 6,148.00",New,2016-04-10
13,Bliss Retails,2 out of 5 stars,"Rs. 6,210.00",New,2016-04-10
13,Kifayati Deals,4.5 out of 5 stars,"Rs. 6,895.00",New,2016-04-10
13,Brisk Communications,5 out of 5 stars,"Rs. 7,500.00",New,2016-04-10
13,BestDeals4Yu,4 out of 5 stars,"Rs. 7,810.00",New,2016-04-10
14,SCPL SLP,4.5 out of 5 stars,"Rs. 46,900.00",New,2016-04-10
14,Sabrimala Leasing and Holdings Limited_SLP,4 out of 5 stars,"Rs. 46,900.00",New,2016-04-10
14,AMEZ,4.5 out of 5 stars,"Rs. 46,900.00",New,2016-04-10
14,Ojas_BAN_SLC,5 out of 5 stars,"Rs. 46,900.00",New,2016-04-10
14,ITWORLD_CHE_SLC,4.5 out of 5 stars,"Rs. 46,900.00",New,2016-04-10
14,the electronic gadgets,2 out of 5 stars,"Rs. 46,855.00",New,2016-04-10
19,DEVICES INDIA,4 out of 5 stars,"Rs. 12,200.00",New,2016-04-10
19,mobile mantra,1 out of 5 stars,"Rs. 13,000.00",New,2016-04-10
19,Hunny Electronics,1 out of 5 stars,"Rs. 13,400.00",New,2016-04-10
19,JMD EXCLUSIVE,4.5 out of 5 stars,"Rs. 13,300.00",New,2016-04-10
